@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
75,'2018/01/28 23:55:41:966',9,120,65,95,0.366439,0.089684,0.490232
76,'2018/01/28 23:55:42:044',9,121,67,94,0.366439,0.089684,0.490232
77,'2018/01/28 23:55:42:116',9,121,67,93,0.366439,0.089684,0.490232
78,'2018/01/28 23:55:42:193',9,121,67,93,0.366439,0.089684,0.490232
79,'2018/01/28 23:55:42:277',9,121,65,94,0.366439,0.089684,0.490232
80,'2018/01/28 23:55:42:351',9,122,66,93,0.366439,0.089684,0.490232
81,'2018/01/28 23:55:42:423',9,122,66,93,0.366439,0.089684,0.490232
82,'2018/01/28 23:55:42:498',9,123,67,91,0.366439,0.089684,0.490232
83,'2018/01/28 23:55:42:567',9,121,66,93,0.366439,0.089684,0.490232
84,'2018/01/28 23:55:42:642',9,122,67,92,0.366439,0.089684,0.490232
85,'2018/01/28 23:55:42:715',9,122,68,91,0.366439,0.089684,0.490232
86,'2018/01/28 23:55:42:787',9,122,68,91,0.366439,0.089684,0.490232
87,'2018/01/28 23:55:42:860',9,122,67,92,0.366439,0.089684,0.490232
88,'2018/01/28 23:55:43:790',10,121,67,93,0.366439,0.089684,0.490232
89,'2018/01/28 23:55:43:953',10,122,67,93,0.366439,0.089684,0.490232
90,'2018/01/28 23:55:44:032',10,121,67,93,0.366439,0.089684,0.490232
91,'2018/01/28 23:55:44:113',10,123,68,91,0.366439,0.089684,0.490232
92,'2018/01/28 23:56:01:616',11,0,0,0,0.305117,0.860963,0.712506
93,'2018/01/28 23:56:01:697',11,0,0,0,0.305117,0.860963,0.712506
94,'2018/01/28 23:56:01:768',11,0,0,0,0.305117,0.860963,0.712506
95,'2018/01/28 23:56:01:839',11,0,0,0,0.305117,0.860963,0.712506
96,'2018/01/28 23:56:01:907',11,0,0,0,0.305117,0.860963,0.712506
97,'2018/01/28 23:56:01:978',11,0,0,0,0.305117,0.860963,0.712506
98,'2018/01/28 23:56:02:048',11,0,0,0,0.305117,0.860963,0.712506
99,'2018/01/28 23:56:02:118',11,0,0,0,0.305117,0.860963,0.712506
100,'2018/01/28 23:56:02:190',11,0,0,0,0.305117,0.860963,0.712506
101,'2018/01/28 23:56:02:264',11,0,0,0,0.305117,0.860963,0.712506
102,'2018/01/28 23:56:02:342',11,0,0,0,0.305117,0.860963,0.712506
103,'2018/01/28 23:56:02:413',11,0,0,0,0.305117,0.860963,0.712506
104,'2018/01/28 23:56:02:486',11,0,0,0,0.305117,0.860963,0.712506
105,'2018/01/28 23:56:02:560',11,0,0,0,0.305117,0.860963,0.712506
106,'2018/01/28 23:56:02:634',11,0,0,0,0.305117,0.860963,0.712506
107,'2018/01/28 23:56:02:707',11,0,0,0,0.305117,0.860963,0.712506
108,'2018/01/28 23:56:02:779',11,0,0,0,0.305117,0.860963,0.712506
109,'2018/01/28 23:56:02:851',11,0,0,0,0.305117,0.860963,0.712506
110,'2018/01/28 23:56:02:924',11,0,0,0,0.305117,0.860963,0.712506
111,'2018/01/28 23:56:02:997',11,0,0,0,0.305117,0.860963,0.712506
112,'2018/01/28 23:56:03:076',11,0,0,0,0.305117,0.860963,0.712506
113,'2018/01/28 23:56:03:150',11,0,0,0,0.305117,0.860963,0.712506
114,'2018/01/28 23:56:03:223',11,0,0,0,0.305117,0.860963,0.712506
115,'2018/01/28 23:56:03:303',11,0,0,0,0.305117,0.860963,0.712506
116,'2018/01/28 23:56:03:895',12,0,0,0,0.305117,0.860963,0.712506
117,'2018/01/28 23:56:03:966',12,0,0,0,0.305117,0.860963,0.712506
118,'2018/01/28 23:56:04:036',12,0,0,0,0.305117,0.860963,0.712506
119,'2018/01/28 23:56:04:108',12,0,0,0,0.305117,0.860963,0.712506
120,'2018/01/28 23:56:04:182',12,0,0,0,0.305117,0.860963,0.712506
121,'2018/01/28 23:56:04:256',12,0,0,0,0.305117,0.860963,0.712506
122,'2018/01/28 23:56:04:335',12,0,0,0,0.305117,0.860963,0.712506
123,'2018/01/28 23:56:04:415',12,0,0,0,0.305117,0.860963,0.712506
124,'2018/01/28 23:56:15:608',13,0,0,0,0.648225,0.795064,0.578916
125,'2018/01/28 23:56:15:681',13,0,0,0,0.648225,0.795064,0.578916
126,'2018/01/28 23:56:15:753',13,0,0,0,0.648225,0.795064,0.578916
127,'2018/01/28 23:56:15:826',13,0,0,0,0.648225,0.795064,0.578916
128,'2018/01/28 23:56:15:900',13,0,0,0,0.648225,0.795064,0.578916
129,'2018/01/28 23:56:15:966',13,0,0,0,0.648225,0.795064,0.578916
130,'2018/01/28 23:56:16:034',13,0,0,0,0.648225,0.795064,0.578916
131,'2018/01/28 23:56:16:101',13,0,0,0,0.648225,0.795064,0.578916
132,'2018/01/28 23:56:16:169',13,0,0,0,0.648225,0.795064,0.578916
133,'2018/01/28 23:56:16:234',13,0,0,0,0.648225,0.795064,0.578916
134,'2018/01/28 23:56:16:317',13,0,0,0,0.648225,0.795064,0.578916
135,'2018/01/28 23:56:16:389',13,0,0,0,0.648225,0.795064,0.578916
136,'2018/01/28 23:56:16:466',13,0,0,0,0.648225,0.795064,0.578916
137,'2018/01/28 23:56:16:536',13,0,0,0,0.648225,0.795064,0.578916
138,'2018/01/28 23:56:16:604',13,0,0,0,0.648225,0.795064,0.578916
139,'2018/01/28 23:56:16:673',13,0,0,0,0.648225,0.795064,0.578916
140,'2018/01/28 23:56:16:745',13,0,0,0,0.648225,0.795064,0.578916
141,'2018/01/28 23:56:16:818',13,0,0,0,0.648225,0.795064,0.578916
142,'2018/01/28 23:56:16:893',13,0,0,0,0.648225,0.795064,0.578916
143,'2018/01/28 23:56:16:960',13,0,0,0,0.648225,0.795064,0.578916
144,'2018/01/28 23:56:17:028',13,0,0,0,0.648225,0.795064,0.578916
145,'2018/01/28 23:56:17:094',13,0,0,0,0.648225,0.795064,0.578916
146,'2018/01/28 23:56:17:164',13,0,0,0,0.648225,0.795064,0.578916
147,'2018/01/28 23:56:17:238',13,0,0,0,0.648225,0.795064,0.578916
148,'2018/01/28 23:56:18:434',14,0,0,0,0.648225,0.795064,0.578916
149,'2018/01/28 23:56:18:501',14,0,0,0,0.648225,0.795064,0.578916
150,'2018/01/28 23:56:18:565',14,0,0,0,0.648225,0.795064,0.578916
151,'2018/01/28 23:56:18:636',14,0,0,0,0.648225,0.795064,0.578916
152,'2018/01/28 23:56:18:706',14,0,0,0,0.648225,0.795064,0.578916
